title,category,description,price,image
Монопод HARPER RSB-105 Blue (Управление через bluetooth),Чехлы и аксессуары,no description,495 сом 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Redmi3 Pro/Redmi3S (UBV4457CN),Чехлы и аксессуары,no description,260 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Redmi Note 3 Pro (0.22mm)(UBV4453GL),Чехлы и аксессуары,no description,650 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Redmi Note 3,Чехлы и аксессуары,no description,260 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Mi5 (2в1) (SKU UBL4471GL),Чехлы и аксессуары,no description,450 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Mi5 (0.14mm)(SKU UBL 4474 GL),Чехлы и аксессуары,no description,660 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Защитный экран Xiaomi Mi4c (UBV4432CN),Чехлы и аксессуары,no description,190 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Задняя панель для Zopo ZP920 черная,Чехлы и аксессуары,no description,330 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Задняя панель для Zopo ZP920 цветная,Чехлы и аксессуары,no description,330 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Задняя панель для Zopo ZP920 белая,Чехлы и аксессуары,no description,330 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Планшет Asus MemoPad FHD10 LTE Blue (1B010A) (10"" IPS (1920x1200), S4 Pro 8064 Quad-Core (1.5Ghz), 2GB, 16GB Storage, Wi-Fi, Front Camera 1.2MP, Rear ",Планшеты,no description,16 405 сом 32 810 сом,http://planeta.kg/upload/iblock/7a1/7a1cbfd1f330aad67d9c4cbf540b9d8f.jpeg
"Планшет Sony SGP512RU/W (10"" IPS (1920x1200), Qualcomm 801 Quad-Core (2.3Ghz), 3GB, 32GB Storage, Wi-Fi, Front Camera 2.2MP, Rear Camera 8.1MP)",Планшеты,no description,20 415 сом 40 830 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Планшет Sony SGP511RU/B (10"" IPS (1920x1200), Qualcomm 801 Quad-Core (2.3Ghz), 3GB, 16GB Storage, Wi-Fi, Front Camera 2.2MP, Rear Camera 8.1MP)",Планшеты,no description,19 680 сом 39 360 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Планшет Asus Nexus 7C 32GB LTE (1A015A) (7"" IPS (1920x1200), S4 Pro 8064 Quad-Core (1.5Ghz), 2GB, 32GB Storage, BT, Wi-Fi, Front Camera 1.2MP, Rear Ca",Планшеты,no description,15 135 сом 30 270 сом,http://planeta.kg/upload/iblock/f40/f404d95bed50d43c77707fbe238f3d00.jpeg
"Планшет Asus MemoPad FHD10 LTE White (1A008A) (10"" IPS (1920x1200), S4 Pro 8064 Quad-Core (1.5Ghz), 2GB, 16GB Storage, Wi-Fi, Front Camera 1.2MP, Rear",Планшеты,no description,16 405 сом 32 810 сом,http://planeta.kg/upload/iblock/b3a/b3ab96b54eab4b2c82b97e2bc36576dd.jpeg
